"Priority","Organization","Project","Type","Subsidy","Matching","Total","Start_date","End_date","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords","LAU1_CODE","LAU1_NAME"
"P5","WAG Social Justice","Credit Union Support Project","ERDF",362982,0,725964,"01/2009","09/2010","Wales","Wales","Fourth","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317","UKL1200","Gwynedd"
"P2","WAG The Economic Development Group within DEandT","New Business Start Up Support","ERDF",20374070,0,31344725,"07/2008","06/2015","Wales","Wales","Fourth","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317","UKL1200","Gwynedd"
"P1","WAG The Economic Development Group within DEandT","Knowledge Exploitation Capacity Development","ERDF",7128909,0,14257819,"04/2008","04/2015","Wales","Wales","Fourth","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317","UKL1200","Gwynedd"
"P1","WAG The Economic Development Group within DeandT","Knowledge Transfer And Collaborative Industrial Research","ERDF",11353809,0,22707618,"04/2008","04/2015","Wales","Wales","Fourth","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317","UKL1200","Gwynedd"
"P2","WAG The Economic Development Group within DEandT","New Business Start Up Support (Comp)","ERDF",4599640,0,10456034,"07/2008","06/2015","Wales","Wales","Fourth","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317","UKL1200","Gwynedd"
"P2","All Wales Ethnic Minority Association","BME Employment For All","ESF",1405059,0,4319071,"09/2008","12/2012","Wales","Wales","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"P2","BTCV Cymru","Family Employment Initiative","ESF",1616604,0,2938904,"04/2009","11/2012","Wales","Wales","Second","Cardiff","Cardiff","CF14 7JJ","51.517621","-3.2453328","UKL2207","Cardiff"
"P2","WAG DESH Regeneration","JobMatch","ESF",16027208,0,27492654,"04/2007","12/2011","Wales","Wales","Fourth","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317","UKL1200","Gwynedd"
"P1","All Wales Ethnic Minority Association","Young BME People Aiming High","ESF",459148,0,953606,"04/2010","06/2013","Wales","Wales","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"P3","All Wales Ethnic Minority Association","Minorities are Wales Resources","ESF",388950,0,708365,"04/2010","06/2014","Wales","Wales","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"P2","WAG DCELLS Lifelong Learning and Skills","All Age Skillbuild for the Unemployed Inactive and NEET","ESF",32964900,0,59960592,"08/2007","08/2011","Wales","Wales","Fourth","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317","UKL1200","Gwynedd"
"P2","WAG DCELLS Lifelong Learning and Skills","ReAct ESF Convergence P2","ESF",21712164,0,48791379,"10/2008","09/2015","Wales","Wales","Fourth","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317","UKL1200","Gwynedd"
"P1","WAG DCELLS Lifelong Learning and Skills","ReAct ESF Competitiveness P1","ESF",6131345,0,25914395,"10/2008","09/2015","Wales","Wales","Fourth","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317","UKL1200","Gwynedd"
