"Priority","Organization","Project","Type","Subsidy","Matching","Total","Start_date","End_date","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords"
"P2","VISITSCOTLAND","SUSTAINABLE TOURISM CONSUMER PROMOTIONS - H&IS","ERDF","1654652","N/A","4550749","N/A","N/A","Scotland","Highland and Islands","Third","Glasgow City","Glasgow","G1","55.8599595","-4.2526285"
"P1","The Scottish Government","The Harris Tweed Investment Fund","ERDF","92000","N/A","230000","N/A","N/A","Scotland","Highland and Islands","Second","Edinburgh","Edinburgh","EH1 3DG","55.9537024","-3.1827618"
"P2","Sustrans Scotland","Oban to Fort William Multi-user Path","ERDF","500000","N/A","1195563","N/A","N/A","Scotland","Highland and Islands","Second","Edinburgh","Edinburgh","EH12 5EZ","55.9454853","-3.2200245"
"P3","Tarbert (Loch Fyne) Harbour Authority","Tarbert East Pier Upgrade","ERDF","28688","N/A","114750","N/A","N/A","Scotland","Highland and Islands","Second","Argyll and Bute","Tarbert","PA29","55.8676025","-5.4112003"
"P3","Argyll Community Housing Association","Millknowe Terrace, Campbeltown - Regeneration","ERDF","54583","N/A","149098","N/A","N/A","Scotland","Highland and Islands","Second","Argyll and Bute","Oban","PA34 4RY","56.4020572","-5.4754934"
"P1","Argyll and Bute Council","Business Gateway Plus Argyll & Bute and Arran & Cumbrae","ERDF","44120","N/A","110300","N/A","N/A","Scotland","Highland and Islands","First","Argyll and Bute","Oban","PA34 4NH","56.4048113","-5.4724789"
"P1","Argyll and Bute Council","Kintyre Renewables Hub","ERDF","3798835","N/A","11418835","N/A","N/A","Scotland","Highland and Islands","First","Argyll and Bute","Oban","PA34 4NH","56.4048113","-5.4724789"
"P3","Argyll and Bute Council","Tayinloan Community Access Improvements","ERDF","500000","N/A","2650000","N/A","N/A","Scotland","Highland and Islands","First","Argyll and Bute","Oban","PA34 4NH","56.4048113","-5.4724789"
"P2","The Isle of Luing Community Trust","AIC Project","ERDF","360391","N/A","857880","N/A","N/A","Scotland","Highland and Islands","Fourth","Argyll and Bute","Oban","PA34 4NH","56.237303","-5.6398459"
"P1","Highlands & Islands Enterprise","HIE Priority 1 Capital SDB Phase 2 Agreement","ERDF","6100000","N/A","15250000","N/A","N/A","Scotland","Highland and Islands","Third","Argyll and Bute","Lochgilphead","PA31 8SH","56.0243602","-5.4304317"
"P1","Highlands & Islands Enterprise","HIE Priority 1 Revenue SDB Phase 2 Agreement","ERDF","4000000","N/A","10000000","N/A","N/A","Scotland","Highland and Islands","Third","Argyll and Bute","Lochgilphead","PA31 8SH","56.0243602","-5.4304317"
"P1","Highlands & Islands Enterprise","HIE Priority 1 Revenue SDB Agreement","ERDF","3815000","N/A","9537500","N/A","N/A","Scotland","Highland and Islands","Third","Argyll and Bute","Lochgilphead","PA31 8SH","56.0243602","-5.4304317"
"P1","Highlands & Islands Enterprise","HIE Priority 1 Capital SDB Agreement","ERDF","9320000","N/A","23300000","N/A","N/A","Scotland","Highland and Islands","Third","Argyll and Bute","Lochgilphead","PA31 8SH","56.0243602","-5.4304317"
"P1","Mull and Iona Community Trust","A Community Enterprise Centre for Mull & Iona","ERDF","528162","N/A","1337862","N/A","N/A","Scotland","Highland and Islands","Second","Argyll and Bute","Isle of Mull","PA65 6AY","56.4643535","-5.6967876"
"P3","THE HEBRIDEAN TRUST","REGENERATING HYNISH","ERDF","129597","N/A","355501","N/A","N/A","Scotland","Highland and Islands","Second","Argyll and Bute","Isle of Mull","PA75 6NU","56.6229951","-6.0679314"
"P3","Development Coll","An Cridhe","ERDF","962568","N/A","2387593","N/A","N/A","Scotland","Highland and Islands","Second","Argyll and Bute","Isle of Coll","PA78 6SY","56.6232763","-6.5270693"
"P3","Kintyre Amenity Trust","Campbeltown Old School Bunkhouse Project","ERDF","172790","N/A","434528","N/A","N/A","Scotland","Highland and Islands","Second","Argyll and Bute","Campbeltown","PA28 6JF","55.423523","-5.6076948"
"P2","West Lothian Council","Business Gateway Plus - South East Scotland","ERDF","649360","N/A","1632364","N/A","N/A","Scotland","Lowlands and Uplands","Second","West Lothian","Livingston","EH54","55.8880724","-3.5164534"
"P2","West Lothian Council","West Lothian Economic Growth Project","ERDF","243727","N/A","609317","N/A","N/A","Scotland","Lowlands and Uplands","Second","West Lothian","Livingston","EH54","55.8880724","-3.5164534"
"P2","West Lothian Council","Business Gateway Plus SE Scotland","ERDF","1499121","N/A","3747801","N/A","N/A","Scotland","Lowlands and Uplands","Second","West Lothian","Livingston","EH54","55.8880724","-3.5164534"
"P3","West Lothian Council","West Lothian Partnership Project - Connecting Communities","ERDF","603168","N/A","1723337","N/A","N/A","Scotland","Lowlands and Uplands","Second","West Lothian","Livingston","EH54","55.8880724","-3.5164534"
"P3","West Lothian Council","West Lothian Job Brokerage Initiative","ERDF","311347","N/A","778367","N/A","N/A","Scotland","Lowlands and Uplands","Second","West Lothian","Livingston","EH54","55.8880724","-3.5164534"
"P4","East Lothian Business Units","East Lothian Council","ERDF","420892","N/A","1052230","N/A","N/A","Scotland","Lowlands and Uplands","Second","West Lothian","Linlithgow","EH49 6EP","55.9736622","-3.6124205"
"P2","West Dunbartonshire Council","Business Gateway Plus","ERDF","194693","N/A","556268","N/A","N/A","Scotland","Lowlands and Uplands","Second","West Dunbartonshire","Dumbarton","G82 3PU","55.9450925","-4.5646258"
"P3","West Dunbartonshire Council","West Dunbartonshire Employability Programme Job Brokerage 3","ERDF","116712","N/A","291782","N/A","N/A","Scotland","Lowlands and Uplands","Second","West Dunbartonshire","Dumbarton","G82 3PU","55.9450925","-4.5646258"
"P1","Sustainable Energy Technology & Innovation Centre","Accelerated Development Programme for Renewable SMEs","ERDF","571454","N/A","1611900","N/A","N/A","Scotland","Lowlands and Uplands","Third","Glasgow City","Glasgow","G75 0QF","55.753892","-4.1656607"
"P1","University of Stirling","Sporting Chance Initiative","ERDF","644643","N/A","1543979","N/A","N/A","Scotland","Lowlands and Uplands","Second","Stirling","Stirling","FK9 4LR","56.1495541","-3.9182213"
"P2","South Lanarkshire Council","Lanarkshire Sustainable Business Programme","ERDF","347426","N/A","992644","N/A","N/A","Scotland","Lowlands and Uplands","Second","South Lanarkshire","Lanark","ML11 9TA","55.6735909","-3.7819661"
